wav_filename,wav_filesize,song_name,artist,length,transcript
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Solo 35.wav,326384,Solo,['future'],1850,sleeping on the boat hey
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Crushed Up 7.wav,541592,Crushed Up,['future'],3070,half a ticket for my wrist spill so big
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Never Stop 26.wav,603332,Never Stop,['future'],3420,i done came up out the ghetto my crib gated
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Talk Shit Like a Preacher 38.wav,566288,Talk Shit Like a Preacher,['future'],3210,king pluto came off the back block
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Fresh Air 6.wav,679184,Fresh Air,['future'],3850,when i need fresh air
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future WIFI LIT 19.wav,303452,WIFI LIT,['future'],1720,cut the head off the porsche
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Keep Quiet 27.wav,354608,Keep Quiet,['future'],2010,and them skirts i'm a give 'em to you
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Never Stop 51.wav,605096,Never Stop,['future'],3430,thinkin' 'bout when i was posted up when they raided swear i was
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Temptation 31.wav,469268,Temptation,['future'],2660,that's what you get when you thinkin' of marriage
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Extra 13.wav,823832,Extra,['future'],4670,why my niggas extras extra extra extra
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Damage 59.wav,321092,Damage,['future'],1820,you got a better advantage
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Damage 20.wav,342260,Damage,['future'],1940,try and fuck a nigga life up
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Young Thug Feed Me Dope 14.wav,665072,Feed Me Dope,['future'],3770,go'n you doin' that wrong out of here al capone
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Never Stop 17.wav,569816,Never Stop,['future'],3230,i can tell you worried but a nigga been in debt
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Sorry 52.wav,479852,Sorry,['future'],2720,it can get scary when you legendary
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Baptiize 19.wav,580400,Baptiize,['future'],3290,she done been in love before but i done got her icy
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Tricks on Me 13.wav,739160,Tricks on Me,['future'],4190,how she gon' take my love and give it away like it ain't nothin' to her
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Servin Killa Kam 44.wav,377540,Servin Killa Kam,['future'],2140,k hit the phone i ain't save it
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Jumpin on a Jet 40.wav,698588,Jumpin on a Jet,['future'],3960,i'm on flames me and my ho hood gangbang
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Tricks on Me 43.wav,628028,Tricks on Me,['future'],3560,seen his son at my little boy birthday party it was harder
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Keep Quiet 56.wav,370484,Keep Quiet,['future'],2100,i get you high and a little upset
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Jumpin on a Jet 48.wav,700352,Jumpin on a Jet,['future'],3970,vvs' got my hoes sprung yeah ho
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Baptiize 54.wav,559232,Baptiize,['future'],3170, dollars for a gram tryna stuff a  in a backwood
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Overdose 23.wav,573344,Overdose,['future'],3250,my lil' goon made a million dollars now she ain't gettin' whacked
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Love Thy Enemies 5.wav,836180,Love Thy Enemies,['future'],4740,save my flesh i'm in need of your cure
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Solo 18.wav,439280,Solo,['future'],2490,love it when it bounce eh
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Promise U That 71.wav,696468,Promise U That,['future'],4273,let's converse off codeine yeah
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Faceshot 18.wav,534536,Faceshot,['future'],3030,lost count put up all the profit ten weeks skrrt
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Talk Shit Like a Preacher 17.wav,312272,Talk Shit Like a Preacher,['future'],1770,tryna get me a vibe get me a vibe
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Turn On Me 42.wav,568052,Turn On Me,['future'],3220,damn you mothafuckin' ho lil' nasty nigga
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Damage 29.wav,331676,Damage,['future'],1880,whip browner than a bandaid
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Turn On Me 67.wav,374012,Turn On Me,['future'],2120,had wheat timbs on when i came to you
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Please Tell Me 39.wav,654488,Please Tell Me,['future'],3710,please tell me i can buy chanel for you please
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future New Illuminati 1.wav,381068,New Illuminati,['future'],2160,careeessin' you
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future WHEN I THINK ABOUT IT 25.wav,620972,WHEN I THINK ABOUT IT,['future'],3520,you can get the whole clip if you tryna touch me
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future 31 DAYS 37.wav,659780,31 DAYS,['future'],3740,i was quieter than a mouse when i got it in her mouth she couldn't breath
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Please Tell Me 68.wav,331676,Please Tell Me,['future'],1880,she ain't never had my status yeah
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future 31 DAYS 55.wav,375776,31 DAYS,['future'],2130,so they could all come and sleep with us
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Please Tell Me 26.wav,351080,Please Tell Me,['future'],1990,you know i got the diamonds out the dirt please please
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future RED LIGHT 17.wav,680948,RED LIGHT,['future'],3860,bought myself a mansion now i gotta buy everybody a house
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Keep Quiet 50.wav,659780,Keep Quiet,['future'],3740,you gotta let me have my way that's why i trust in you
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future New Illuminati 34.wav,520424,New Illuminati,['future'],2950,playa hater long see you later
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future RED LIGHT 28.wav,650960,RED LIGHT,['future'],3690,pour the lean for the bastards
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Afterlife 41.wav,589220,Afterlife,['future'],3340,i floodout richard it's gon' cost me at least a quarter least a quarter
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Testify 43.wav,448100,Testify,['future'],2540,i try my best to treasure give a little more
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future St. Lucia 5.wav,315800,St. Lucia,['future'],1790,i'm gettin' cocky
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future My Collection 4.wav,818540,My Collection,['future'],4640,matter of fact you wanna come to pluto
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Never Stop 49.wav,596276,Never Stop,['future'],3380,i was sittin' back programmin' my brain i was in trainin' yeah
C:\Users\Milan\Documents\Programming\tranSLATor\dataset\data\dataset_wav_lines\Future Shotgun 12.wav,688004,Shotgun,['future'],3900,you wanna slide with me shotgun shotgun
